bande_src;bande_dst;detecteur;delta_t
B05;B12;D04;-0.874177919
B05;B12;D05;0.810533058
B05;B12;D06;-0.868351938
B05;B12;D07;0.809295598
B05;B12;D08;-0.868777404
B05;B12;D09;0.811878631
B05;B12;D10;-0.874527095
B05;B12;D11;0.819026569
B05;B12;D12;-0.884638024
B06;B01;D01;0.804404144
B06;B01;D02;-0.788640294
B06;B01;D03;0.794258372
B06;B01;D04;-0.781112941
B06;B01;D05;0.78879302
B06;B01;D06;-0.777064937
B06;B01;D07;0.786726341
B06;B01;D08;-0.777439646
B06;B01;D09;0.789859968
B06;B01;D10;-0.78230825
B06;B01;D11;0.79677105
B06;B01;D12;-0.792838067
B06;B02;D01;-1.537037932
B06;B02;D02;1.542280132
B06;B02;D03;-1.517092565
B06;B02;D04;1.525236374
B06;B02;D05;-1.50624105
B06;B02;D06;1.517108159
B06;B02;D07;-1.502428303
B06;B02;D08;1.518708012
B06;B02;D09;-1.508073811
B06;B02;D10;1.528202324
B06;B02;D11;-1.521803239
B06;B02;D12;1.548028841
B06;B03;D01;-1.011120355
B06;B03;D02;1.016252049
B06;B03;D03;-0.997237775
B06;B03;D04;1.004713999
B06;B03;D05;-0.990352724
B06;B03;D06;0.99960969
B06;B03;D07;-0.987595054
B06;B03;D08;1.00089608
B06;B03;D09;-0.991737547
B06;B03;D10;1.006943582
B06;B03;D11;-1.001455252
B06;B03;D12;1.020258499
B06;B04;D01;-0.527333811
B06;B04;D02;0.531135991
B06;B04;D03;-0.520119262
B06;B04;D04;0.524718413
B06;B04;D05;-0.516657632
B06;B04;D06;0.522149519
B06;B04;D07;-0.515953912
B06;B04;D08;0.52267141
B06;B04;D09;-0.517118093
B06;B04;D10;0.525549523
B06;B04;D11;-0.521839778
B06;B04;D12;0.532910152
B06;B05;D01;-0.261704328
B06;B05;D02;0.267866711
B06;B05;D03;-0.258175667
B06;B05;D04;0.264536948
B06;B05;D05;-0.256222343
B06;B05;D06;0.26287493
B06;B05;D07;-0.255760434
B06;B05;D08;0.263424127
B06;B05;D09;-0.256617885
B06;B05;D10;0.265083257
B06;B05;D11;-0.258664598
B06;B05;D12;0.268891237
B06;B07;D01;0.26424501
B06;B07;D02;-0.264079565
B06;B07;D03;0.260875006
B06;B07;D04;-0.261693362
B06;B07;D05;0.259233892
B06;B07;D06;-0.260115119
B06;B07;D07;0.25854134
B06;B07;D08;-0.260595524
B06;B07;D09;0.259300846
B06;B07;D10;-0.261750573
B06;B07;D11;0.261775117
B06;B07;D12;-0.265488415
B06;B08;D01;-1.274303004
B06;B08;D02;1.279696572
B06;B08;D03;-1.257245867
B06;B08;D04;1.265682128
B06;B08;D05;-1.247607213
B06;B08;D06;1.258957577
B06;B08;D07;-1.244999844
B06;B08;D08;1.260205223
B06;B08;D09;-1.25020067
B06;B08;D10;1.268323672
B06;B08;D11;-1.261739789
B06;B08;D12;1.284809491
B06;B8A;D01;0.526746471
B06;B8A;D02;-0.533004719
B06;B8A;D03;0.519730214
B06;B8A;D04;-0.527775501
B06;B8A;D05;0.515668769
B06;B8A;D06;-0.525145477
B06;B8A;D07;0.514594199
B06;B8A;D08;-0.524698611
B06;B8A;D09;0.516532995
B06;B8A;D10;-0.527424585
B06;B8A;D11;0.520626123
B06;B8A;D12;-0.53528258
B06;B09;D01;1.073597208
B06;B09;D02;-1.062917628
B06;B09;D03;1.059330423
B06;B09;D04;-1.051510728
B06;B09;D05;1.052350564
B06;B09;D06;-1.046826416
B06;B09;D07;1.049815006
B06;B09;D08;-1.047011827
B06;B09;D09;1.053573996
B06;B09;D10;-1.054225405
B06;B09;D11;1.063122329
B06;B09;D12;-1.06711565
B06;B10;D01;-0.685975458
B06;B10;D02;0.65437836
B06;B10;D03;-0.676415267
B06;B10;D04;0.646817529
B06;B10;D05;-0.669317164
B06;B10;D06;0.643999807
B06;B10;D07;-0.668009097
B06;B10;D08;0.645292235
B06;B10;D09;-0.670215002
B06;B10;D10;0.64949483
B06;B10;D11;-0.677246563
B06;B10;D12;0.658944552
B06;B11;D01;-0.062107527
B06;B11;D02;0.018652039
B06;B11;D03;-0.060715036
B06;B11;D04;0.016688719
B06;B11;D05;-0.058900253
B06;B11;D06;0.017462017
B06;B11;D07;-0.058681278
B06;B11;D08;0.017729602
B06;B11;D09;-0.058303108
B06;B11;D10;0.018733419
B06;B11;D11;-0.059212124
B06;B11;D12;0.02014019
B06;B12;D01;0.564353869
B06;B12;D02;-0.614733381
B06;B12;D03;0.557252039
B06;B12;D04;-0.609643005
B06;B12;D05;0.554310385
B06;B12;D06;-0.605476442
B06;B12;D07;0.553535085
B06;B12;D08;-0.605353596
B06;B12;D09;0.555259817
B06;B12;D10;-0.609444802
B06;B12;D11;0.560362263
B06;B12;D12;-0.615757698
B07;B01;D01;0.540156114
B07;B01;D02;-0.524565853
B07;B01;D03;0.533381357
B07;B01;D04;-0.519421271
B07;B01;D05;0.52955855
B07;B01;D06;-0.516949753
B07;B01;D07;0.528181763
B07;B01;D08;-0.516844365
B07;B01;D09;0.530555397
B07;B01;D10;-0.520559654
B07;B01;D11;0.53498904
B07;B01;D12;-0.527355829
B07;B02;D01;-1.801263869
B07;B02;D02;1.806373526
B07;B02;D03;-1.777960924
B07;B02;D04;1.786934215
B07;B02;D05;-1.765473496
B07;B02;D06;1.777222984
B07;B02;D07;-1.760966237
B07;B02;D08;1.779303879
B07;B02;D09;-1.767372618
B07;B02;D10;1.789961975
B07;B02;D11;-1.783577041
B07;B02;D12;1.813530022
B07;B03;D01;-1.27535637
B07;B03;D02;1.280339833
B07;B03;D03;-1.258110021
