bande_src;bande_dst;detecteur;delta_t
B04;B12;D07;1.101411919
B04;B12;D08;-1.085291802
B04;B12;D09;1.107990378
B04;B12;D10;-1.090039205
B04;B12;D11;1.117547463
B04;B12;D12;-1.104407054
B05;B01;D01;1.058690412
B05;B01;D02;-1.053763726
B05;B01;D03;1.044663434
B05;B01;D04;-1.043802321
B05;B01;D05;1.037756
B05;B01;D06;-1.037425764
B05;B01;D07;1.03591812
B05;B01;D08;-1.039849447
B05;B01;D09;1.040291439
B05;B01;D10;-1.046588823
B05;B01;D11;1.049804638
B05;B01;D12;-1.061422189
B05;B02;D01;-1.269555084
B05;B02;D02;1.269656182
B05;B02;D03;-1.252713982
B05;B02;D04;1.255578013
B05;B02;D05;-1.243417612
B05;B02;D06;1.251067354
B05;B02;D07;-1.241651373
B05;B02;D08;1.251292612
B05;B02;D09;-1.246653881
B05;B02;D10;1.25951768
B05;B02;D11;-1.259184269
B05;B02;D12;1.275471661
B05;B03;D01;-0.745280929
B05;B03;D02;0.746563566
B05;B03;D03;-0.734972032
B05;B03;D04;0.738404663
B05;B03;D05;-0.729670943
B05;B03;D06;0.735760189
B05;B03;D07;-0.728864966
B05;B03;D08;0.735969365
B05;B03;D09;-0.731432896
B05;B03;D10;0.740806368
B05;B03;D11;-0.740618249
B05;B03;D12;0.749898321
B05;B04;D01;-0.263354549
B05;B04;D02;0.262715469
B05;B04;D03;-0.259854053
B05;B04;D04;0.259421856
B05;B04;D05;-0.257971938
B05;B04;D06;0.258978291
B05;B04;D07;-0.257466732
B05;B04;D08;0.258348192
B05;B04;D09;-0.258465763
B05;B04;D10;0.260383319
B05;B04;D11;-0.261464521
B05;B04;D12;0.263219137
B05;B06;D01;0.26061584
B05;B06;D02;-0.265711413
B05;B06;D03;0.256923929
B05;B06;D04;-0.263304262
B05;B06;D05;0.255182955
B05;B06;D06;-0.26127972
B05;B06;D07;0.254852934
B05;B06;D08;-0.262513693
B05;B06;D09;0.256142735
B05;B06;D10;-0.263832419
B05;B06;D11;0.257682464
B05;B06;D12;-0.267459608
B05;B07;D01;0.52412715
B05;B07;D02;-0.529096525
B05;B07;D03;0.517015504
B05;B07;D04;-0.524130981
B05;B07;D05;0.513232641
B05;B07;D06;-0.520357697
B05;B07;D07;0.512630745
B05;B07;D08;-0.522400998
B05;B07;D09;0.514977745
B05;B07;D10;-0.525915955
B05;B07;D11;0.519614073
B05;B07;D12;-0.532912823
B05;B08;D01;-1.00762085
B05;B08;D02;1.008606896
B05;B08;D03;-0.993882321
B05;B08;D04;0.99773571
B05;B08;D05;-0.986925988
B05;B08;D06;0.994152219
B05;B08;D07;-0.985553183
B05;B08;D08;0.994205675
B05;B08;D09;-0.988684367
B05;B08;D10;1.000795791
B05;B08;D11;-0.999715873
B05;B08;D12;1.013562723
B05;B8A;D01;0.784168581
B05;B8A;D02;-0.794632864
B05;B8A;D03;0.774164801
B05;B8A;D04;-0.787193184
B05;B8A;D05;0.768460364
B05;B8A;D06;-0.782495211
B05;B8A;D07;0.767128115
B05;B8A;D08;-0.784706468
B05;B8A;D09;0.770376599
B05;B8A;D10;-0.789766156
B05;B8A;D11;0.777304244
B05;B8A;D12;-0.800404582
B05;B09;D01;1.326230914
B05;B09;D02;-1.327099327
B05;B09;D03;1.309084776
