bande_src;bande_dst;detecteur;delta_t
B04;B11;D10;-0.472665862
B04;B11;D11;0.49262423
B04;B11;D12;-0.477723961
B04;B12;D01;1.117971195
B04;B12;D02;-1.111170698
B04;B12;D03;1.10559623
B04;B12;D04;-1.100574299
B04;B12;D05;1.099387619
B04;B12;D06;-1.09112701
B04;B12;D07;1.096476485
B04;B12;D08;-1.092411134
B04;B12;D09;1.103774251
B04;B12;D10;-1.099999814
B04;B12;D11;1.111503267
B04;B12;D12;-1.113056202
B05;B01;D01;1.059197833
B05;B01;D02;-1.056212902
B05;B01;D03;1.04544548
B05;B01;D04;-1.045229538
B05;B01;D05;1.037157881
B05;B01;D06;-1.039431858
B05;B01;D07;1.036536309
B05;B01;D08;-1.04094731
B05;B01;D09;1.040163013
B05;B01;D10;-1.047562723
B05;B01;D11;1.049784257
B05;B01;D12;-1.06308365
B05;B02;D01;-1.27190616
B05;B02;D02;1.272207485
B05;B02;D03;-1.255748944
B05;B02;D04;1.258868506
B05;B02;D05;-1.246716853
B05;B02;D06;1.252926247
B05;B02;D07;-1.243863233
B05;B02;D08;1.253600915
B05;B02;D09;-1.249062732
B05;B02;D10;1.262698131
B05;B02;D11;-1.25993877
B05;B02;D12;1.277698996
B05;B03;D01;-0.746208145
B05;B03;D02;0.747803538
B05;B03;D03;-0.736214508
B05;B03;D04;0.740414565
B05;B03;D05;-0.731622368
B05;B03;D06;0.737286599
B05;B03;D07;-0.730431682
B05;B03;D08;0.737518968
B05;B03;D09;-0.73202414
B05;B03;D10;0.74313089
B05;B03;D11;-0.739405785
B05;B03;D12;0.750805162
B05;B04;D01;-0.26407035
B05;B04;D02;0.262787763
B05;B04;D03;-0.26074545
B05;B04;D04;0.259917252
B05;B04;D05;-0.258836568
B05;B04;D06;0.258932009
B05;B04;D07;-0.25847191
B05;B04;D08;0.258870659
B05;B04;D09;-0.25915464
B05;B04;D10;0.260941787
B05;B04;D11;-0.26038542
B05;B04;D12;0.263434667
B05;B06;D01;0.260811374
B05;B06;D02;-0.266274086
B05;B06;D03;0.257432907
B05;B06;D04;-0.26394638
B05;B06;D05;0.255951194
B05;B06;D06;-0.261469834
B05;B06;D07;0.254572167
B05;B06;D08;-0.261815586
B05;B06;D09;0.25534851
B05;B06;D10;-0.263218622
B05;B06;D11;0.258410363
B05;B06;D12;-0.268946632
B05;B07;D01;0.524704705
B05;B07;D02;-0.529942598
B05;B07;D03;0.517266152
B05;B07;D04;-0.525050345
B05;B07;D05;0.513888469
B05;B07;D06;-0.521860147
B05;B07;D07;0.513484472
B05;B07;D08;-0.522136898
B05;B07;D09;0.514851692
B05;B07;D10;-0.52546299
B05;B07;D11;0.520238022
B05;B07;D12;-0.533256478
B05;B08;D01;-1.009062801
B05;B08;D02;1.010381461
B05;B08;D03;-0.996285437
B05;B08;D04;0.999837245
B05;B08;D05;-0.989354938
B05;B08;D06;0.995739933
B05;B08;D07;-0.987180767
B05;B08;D08;0.996068801
B05;B08;D09;-0.990760628
B05;B08;D10;1.00344109
B05;B08;D11;-1.00017156
B05;B08;D12;1.014559643
B05;B8A;D01;0.784693131
B05;B8A;D02;-0.796557557
B05;B8A;D03;0.774252316
B05;B8A;D04;-0.789112825
B05;B8A;D05;0.768946108
B05;B8A;D06;-0.784392636
B05;B8A;D07;0.76767083
B05;B8A;D08;-0.785780357
B05;B8A;D09;0.769802698
B05;B8A;D10;-0.7910325
B05;B8A;D11;0.777841697
B05;B8A;D12;-0.802336051
B05;B09;D01;1.325783805
B05;B09;D02;-1.329715537
B05;B09;D03;1.308179756
B05;B09;D04;-1.315529509
B05;B09;D05;1.298372242
B05;B09;D06;-1.309128729
B05;B09;D07;1.297060212
B05;B09;D08;-1.309627189
B05;B09;D09;1.303069079
B05;B09;D10;-1.319162254
B05;B09;D11;1.314284639
B05;B09;D12;-1.337156831
B05;B10;D01;-0.394541782
B05;B10;D02;0.414842957
B05;B10;D03;-0.386953318
B05;B10;D04;0.408956287
B05;B10;D05;-0.383067067
B05;B10;D06;0.41083215
B05;B10;D07;-0.383380242
B05;B10;D08;0.412239677
B05;B10;D09;-0.380690577
B05;B10;D10;0.415474433
B05;B10;D11;-0.387264792
B05;B10;D12;0.423876959
B05;B11;D01;0.230536667
B05;B11;D02;-0.216576231
B05;B11;D03;0.228955193
B05;B11;D04;-0.215952712
B05;B11;D05;0.228533831
B05;B11;D06;-0.210131314
B05;B11;D07;0.22734092
B05;B11;D08;-0.210729922
B05;B11;D09;0.231590198
B05;B11;D10;-0.211723588
B05;B11;D11;0.232246747
B05;B11;D12;-0.214289899
B05;B12;D01;0.853898329
B05;B12;D02;-0.848392022
B05;B12;D03;0.844850778
B05;B12;D04;-0.840660693
B05;B12;D05;0.840550544
B05;B12;D06;-0.832197345
B05;B12;D07;0.838003025
B05;B12;D08;-0.833542788
B05;B12;D09;0.844616322
B05;B12;D10;-0.839060269
B05;B12;D11;0.851112018
B05;B12;D12;-0.849630317
B06;B01;D01;0.798385698
B06;B01;D02;-0.789940033
B06;B01;D03;0.788009413
B06;B01;D04;-0.78128327
B06;B01;D05;0.781202812
B06;B01;D06;-0.77796266
B06;B01;D07;0.781956184
B06;B01;D08;-0.779133727
B06;B01;D09;0.784804595
B06;B01;D10;-0.784349119
B06;B01;D11;0.791360748
B06;B01;D12;-0.79414914
B06;B02;D01;-1.532701503
B06;B02;D02;1.538483815
B06;B02;D03;-1.513176403
B06;B02;D04;1.522813745
B06;B02;D05;-1.502668326
B06;B02;D06;1.514395102
B06;B02;D07;-1.498439801
B06;B02;D08;1.515419532
B06;B02;D09;-1.504417334
B06;B02;D10;1.525926883
B06;B02;D11;-1.518356497
B06;B02;D12;1.546671068
B06;B03;D01;-1.00701501
B06;B03;D02;1.014079061
B06;B03;D03;-0.993646377
B06;B03;D04;1.00435989
B06;B03;D05;-0.987573335
B06;B03;D06;0.998755487
B06;B03;D07;-0.985003383
B06;B03;D08;0.999336601
B06;B03;D09;-0.987371641
B06;B03;D10;1.006356298
B06;B03;D11;-0.997814596
B06;B03;D12;1.019770281
B06;B04;D01;-0.524869019
B06;B04;D02;0.529062605
B06;B04;D03;-0.518173123
B06;B04;D04;0.523863614
B06;B04;D05;-0.51478778
B06;B04;D06;0.520402648
B06;B04;D07;-0.513048404
B06;B04;D08;0.520689525
B06;B04;D09;-0.51451031
B06;B04;D10;0.524164124
B06;B04;D11;-0.518806729
B06;B04;D12;0.532395126
B06;B05;D01;-0.260806505
B06;B05;D02;0.266274529
B06;B05;D03;-0.25743352
B06;B05;D04;0.263946409
B06;B05;D05;-0.255954295
B06;B05;D06;0.261469623
B06;B05;D07;-0.254579527
B06;B05;D08;0.261816084
B06;B05;D09;-0.255357224
B06;B05;D10;0.26322035
B06;B05;D11;-0.258420522
B06;B05;D12;0.268950781
B06;B07;D01;0.263891736
B06;B07;D02;-0.263668932
B06;B07;D03;0.259829905
B06;B07;D04;-0.261103993
B06;B07;D05;0.2579353
B06;B07;D06;-0.260390325
B06;B07;D07;0.258910173
B06;B07;D08;-0.260320856
B06;B07;D09;0.259501235
B06;B07;D10;-0.262245842
B06;B07;D11;0.261825048
B06;B07;D12;-0.264307393
B06;B08;D01;-1.269863231
B06;B08;D02;1.276657387
B06;B08;D03;-1.253713669
B06;B08;D04;1.263782377
B06;B08;D05;-1.245304796
B06;B08;D06;1.257208289
B06;B08;D07;-1.241752783
B06;B08;D08;1.257885913
B06;B08;D09;-1.24610956
B06;B08;D10;1.266668071
B06;B08;D11;-1.258581877
B06;B08;D12;1.283525106
B06;B8A;D01;0.523884173
B06;B8A;D02;-0.530284215
B06;B8A;D03;0.516818923
B06;B8A;D04;-0.525165026
B06;B8A;D05;0.512993168
B06;B8A;D06;-0.522919892
B06;B8A;D07;0.513094283
B06;B8A;D08;-0.523960992
B06;B8A;D09;0.514447864
B06;B8A;D10;-0.527816952
B06;B8A;D11;0.519421282
B06;B8A;D12;-0.533387001
B06;B09;D01;1.064972182
B06;B09;D02;-1.063442948
B06;B09;D03;1.050745857
B06;B09;D04;-1.051581698
B06;B09;D05;1.042419335
B06;B09;D06;-1.047657984
B06;B09;D07;1.042484511
B06;B09;D08;-1.04781335
B06;B09;D09;1.047716635
B06;B09;D10;-1.055950874
B06;B09;D11;1.05587044
B06;B09;D12;-1.068226972
B06;B10;D01;-0.655343796
B06;B10;D02;0.681117814
B06;B10;D03;-0.644385202
B06;B10;D04;0.672902034
B06;B10;D05;-0.639020711
B06;B10;D06;0.672302464
B06;B10;D07;-0.637958496
B06;B10;D08;0.674059261
B06;B10;D09;-0.636046728
B06;B10;D10;0.678699773
B06;B10;D11;-0.645684871
B06;B10;D12;0.692843627
B06;B11;D01;-0.030272979
B06;B11;D02;0.049697793
B06;B11;D03;-0.028477411
B06;B11;D04;0.047994029
B06;B11;D05;-0.02741764
B06;B11;D06;0.051338777
B06;B11;D07;-0.027231682
B06;B11;D08;0.051086138
B06;B11;D09;-0.02375866
B06;B11;D10;0.051496799
B06;B11;D11;-0.026163348
B06;B11;D12;0.054659026
B06;B12;D01;0.593089222
B06;B12;D02;-0.582119041
B06;B12;D03;0.587416416
B06;B12;D04;-0.576713336
B06;B12;D05;0.584596478
B06;B12;D06;-0.570724931
